coffeepk,lat,lon,name,city,state,street,rating,numofratings,tile
236,40.8220999,-73.9496705,Café One,New York,NY,Amsterdam Avenue 1619,0.0,0,13607_-24650
237,40.7910099,-73.9741121,Tal Bagels,New York,NY,Broadway 2446,0.0,0,13597_-24659
238,40.7921965,-73.9732253,Fillup Coffee,New York,NY,Broadway 2486,0.0,0,13597_-24658
239,40.798239,-73.9695036,Boba Whale,New York,NY,Broadway 2667,0.0,0,13599_-24657
240,40.7984682,-73.9636775,City Coffee Bar,New York,NY,Columbus Avenue 914,0.0,0,13599_-24655
241,40.7994859,-73.9610681,Park Cafe,New York,NY,Manhattan Avenue 153,0.0,0,13599_-24654
242,40.8031673,-73.9670896,Gong Cha,New York,NY,Broadway 2810,0.0,0,13601_-24656
243,40.7997636,-73.9526587,Claire's Kitchen Cafe,New York,NY,Saint Nicholas Avenue 19,0.0,0,13599_-24651
244,40.8274731,-73.9493563,Hamilton's Bakery and Cafe,New York,NY,Broadway 3570;3576,0.0,0,13609_-24650
245,40.8113713,-73.961115,Broadway Au Lait,New York,NY,Broadway 3070,0.0,0,13603_-24654
246,40.8140293,-73.959994,Kuro Kuma,New York,NY,La Salle Street 121,0.0,0,13604_-24654
247,40.8150497,-73.9590898,Starbucks,New York,NY,Broadway 3165,0.0,0,13605_-24654
248,40.8062968,-73.9654905,Blue Bottle Coffee,New York,NY,Broadway 2901,0.0,0,13602_-24656
249,40.8618825,-73.9251616,Dyckman Cafe & Grill,New York,NY,Dyckman Street 108,0.0,0,13620_-24642
250,40.7663043,-73.9829515,Starbucks,New York,NY,Unknown Street,0.0,0,13588_-24661
251,40.7116433,-74.0066898,Starbucks,New York,NY,Park Row 38,0.0,0,13570_-24669
252,40.7160631,-74.0085698,Bluestone Lane,New York,NY,West Broadway 109,0.0,0,13572_-24670
253,40.7112884,-74.0102748,Épicerie Boulud,New York,NY,Church Street 41,0.0,0,13570_-24671
254,40.7092434,-74.0078826,Suited,New York,NY,John Street 45,0.0,0,13569_-24670
